Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BLR,2018-11-02T05:50:00Z,05:50,08:00,4927.0,4300.0,324.0,Spicejet,9,2h 10m,Economy,921,SG,SG_921_,False,2018-10-25
AMD,BLR,2018-11-02T21:45:00Z,21:45,00:10,4927.0,4300.0,324.0,Spicejet,9,2h 25m,Economy,928,SG,SG_928_,False,2018-10-25
AMD,BLR,2018-11-02T05:25:00Z,05:25,10:10,5232.0,4591.0,338.0,Spicejet,9,4h 45m,Economy,636_ 497,SG,SG_636_ 497_,False,2018-10-25
AMD,BLR,2018-11-02T08:20:00Z,08:20,17:20,5829.0,4452.0,330.0,Spicejet,9,9h 0m,Economy,511_ 1233,SG,SG_511_ 1233_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,6393.0,4395.0,1493.0,Jet Airways,7,5h 0m,Economy,411,9W,9W_411_9W_443_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,6393.0,4395.0,1493.0,Jet Airways,2,5h 50m,Economy,411,9W,9W_411_9W_397_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,6393.0,4395.0,1493.0,Jet Airways,5,7h 35m,Economy,411,9W,9W_411_9W_481_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,6393.0,4395.0,1493.0,Jet Airways,4,11h 55m,Economy,411,9W,9W_411_9W_415_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,6393.0,4395.0,1493.0,Jet Airways,5,15h 20m,Economy,411,9W,9W_411_9W_483_,False,2018-10-25
AMD,BLR,2018-11-02T09:15:00Z,09:15,11:30,6698.0,5950.0,443.0,Vistara,7,2h 15m,Economy,924,UK,UK_924_,False,2018-10-25
AMD,BLR,2018-11-02T20:10:00Z,20:10,22:25,6698.0,5950.0,443.0,Vistara,2,2h 15m,Economy,926,UK,UK_926_,False,2018-10-25
AMD,BLR,2018-11-02T04:25:00Z,04:25,08:10,7422.0,5500.0,1542.0,Jet Airways,7,3h 45m,Economy,411,9W,9W_411_,False,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,7,3h 50m,Economy,2738,JK,9W_2738_9W_397_,False,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,7,5h 35m,Economy,2738,JK,9W_2738_9W_481_,False,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,6h 0m,Economy,315,9W,9W_315_9W_415_,False,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,6,7h 50m,Economy,315,9W,9W_315_9W_413_,False,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,9h 25m,Economy,315,9W,9W_315_9W_483_,False,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,6,11h 45m,Economy,2738,JK,9W_2738_9W_413_,False,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,12h 5m,Economy,315,9W,9W_315_9W_477_,False,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,6,13h 5m,Economy,315,9W,9W_315_9W_495_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,7710.0,5650.0,1555.0,Jet Airways,6,13h 45m,Economy,411,9W,9W_411_9W_413_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,7710.0,5650.0,1555.0,Jet Airways,7,18h 0m,Economy,411,9W,9W_411_9W_477_,True,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,18h 25m,Economy,315,9W,9W_315_9W_381_,True,2018-10-25
